,Crypto,Author Name,Text,Message ID,Published At,Retweet Count,Favorite Count
0,CHSB,Arb Cruncher,RT @arbiswap: Arbiswap BTC-CHSB Arbitrage Deal Alert! #arbitrage #cryptocurrency https://t.co/Wdp6Dj1FIn,1167927899283804161,2019-08-31 22:31:24,3,0
1,CHSB,Back/Lay,RT @arbiswap: Arbiswap BTC-CHSB Arbitrage Deal Alert! #arbitrage #cryptocurrency https://t.co/Wdp6Dj1FIn,1167927821198454790,2019-08-31 22:31:06,3,0
2,CHSB,Caulon,Arbiswap BTC-CHSB Arbitrage Deal Alert! #arbitrage #cryptocurrency https://t.co/Wdp6Dj1FIn,1167924633233838087,2019-08-31 22:18:26,3,0
3,CHSB,Startup Feeds,"RT @jmestrella92: ""What you are what you do""
Thanks @swissborg 

#WeAreSwissborg #blockchain #cryptotrading #cryptocurrency #fintech #Wealt…",1167480724699508736,2019-08-30 16:54:30,1,0
4,CHSB,J.M.Estrella92,"""What you are what you do""
Thanks @swissborg 

#WeAreSwissborg #blockchain #cryptotrading #cryptocurrency #fintech… https://t.co/bVHIcLnDVY",1167480702344060929,2019-08-30 16:54:24,1,0
5,CHSB,Oliver,"#Giveaway 
#Shareyourwealth
#chsb
#cryptocurrency 
#CryptoNews 
#btc
#eth

#keepitgoing @pulte @swissborg @SwissborgJ",1167415970366967808,2019-08-30 12:37:11,0,0
0,MCO,andrewukcrypto,"RT @7ristan: #MCO #CRYPTOCOM #BTC #BNB #CRO #ETH #LTC #XRP #CASHBACK #cryptocurrency
#cryptocurrencynews #FINTECH

Test card from https://t…",1170637637843132417,2019-09-08 09:58:56,33,0
1,MCO,stanry_tan,"RT @7ristan: #MCO #CRYPTOCOM #BTC #BNB #CRO #ETH #LTC #XRP #CASHBACK #cryptocurrency
#cryptocurrencynews #FINTECH

Test card from https://t…",1170606836606631937,2019-09-08 07:56:33,33,0
2,MCO,CryptoAdvocate 🇦🇺,"Are you into #crypto and a new or prospective #MCO #VISA Card recipient ?

Are you interested in @Cryptocom, their… https://t.co/irx8oW7VbN",1170491706963136512,2019-09-08 00:19:04,0,2
3,MCO,TpaySoldiers,#Crypto #bitcoin $BTV #TokenPay $TPAY $LTC $ETH $OMG $TUSD $ZRX $REP $MKR $BAT $PAY $HT $DAI $CRO $NEXO $ENJ $MANA… https://t.co/Bo8mudPL2k,1170463826757783552,2019-09-07 22:28:17,0,8
4,MCO,Crypto Price Trading 30m,"$BTC : +0.02%📈 10526$
Top (last h):
$THX : +12.27%📈 98948st
$BAT : +2.44%📈 1685st
$XVG : +2.32%📈 43st
$MCO : +1.50%… https://t.co/YeTuJrhsSC",1170441636255600640,2019-09-07 21:00:06,0,0
5,MCO,Crypto Price Trading 30m,"$BTC : +0.01%📈 10519$
Top (last h):
$THX : +12.17%📈 98959st
$AOA : +3.87%📈 123st
$MCO : +3.27%📈 30729st
$BAT : +2.2… https://t.co/ewxEbvfCRE",1170434083534573569,2019-09-07 20:30:05,0,0
6,MCO,EJ,The price of https://t.co/HkY6erO7N3 Chain is $0.040784! https://t.co/ExOMtQ1url #cro #mco #mcovisacard #Bitcoin… https://t.co/2IzWXSh9Nf,1170227820443734016,2019-09-07 06:50:28,0,0
7,MCO,Brian Mulligan,Really liking my @cryptocom Visa Card. Great buying things with #cryptocurrency and getting 2% #cryptocurrency cash… https://t.co/zH7j4MvSoP,1170104490910978049,2019-09-06 22:40:24,0,2
0,EDO,ProjectX - XtradeBOT,"📢NEW TRADE
🌎Exchange: #Binance
📌#EDOBTC
⏳Buy Date : 2019-09-07 22:24:42
⌛Sell Date : 2019-09-08 03:27:15
📈Buy : 0.0… https://t.co/VQUqKMJVST",1170508896923992069,2019-09-08 01:27:22,0,0
1,EDO,ProjectX - XtradeBOT,"📢NEW TRADE
🌎Exchange: #Binance
📌#EDOBTC
⏳Buy Date : 2019-09-07 14:11:51
⌛Sell Date : 2019-09-07 20:12:15
📈Buy : 0.0… https://t.co/v45Rtpfmlw",1170399591608594432,2019-09-07 18:13:02,0,0
0,CRPT,Petronella Technology Group,RT @arbiswap: Arbiswap BTC-CRPT Arbitrage Deal Alert! #arbitrage #cryptocurrency https://t.co/aZzLYG21AO,1170687488580628480,2019-09-08 13:17:02,3,0
1,CRPT,CoinMarketNews,"Today's top cryptocurrency gainers: 
 
$A (3,257.98%) up
$DEX (49.45%) up
$FX (29.33%) up
$NRG (17.19%) up
$BRD (11… https://t.co/6xocYxq8Fb",1170660577427017729,2019-09-08 11:30:06,0,1
2,CRPT,Arb Cruncher,RT @arbiswap: Arbiswap BTC-CRPT Arbitrage Deal Alert! #arbitrage #cryptocurrency https://t.co/aZzLYG21AO,1170657223422500865,2019-09-08 11:16:46,3,0
3,CRPT,Back/Lay,RT @arbiswap: Arbiswap BTC-CRPT Arbitrage Deal Alert! #arbitrage #cryptocurrency https://t.co/aZzLYG21AO,1170657125577703424,2019-09-08 11:16:23,3,0
4,CRPT,Caulon,Arbiswap BTC-CRPT Arbitrage Deal Alert! #arbitrage #cryptocurrency https://t.co/aZzLYG21AO,1170654700443787264,2019-09-08 11:06:44,3,1
5,CRPT,CoinMarketNews,"Today's top cryptocurrency losers: 
 
$CRPT (-7.65%) down
$EGT (-7.24%) down
$DIVI (-6.74%) down
$BCN (-6.01%) down… https://t.co/sIbMG7ArZH",1170645483171303424,2019-09-08 10:30:07,0,0
6,CRPT,ICOLOG,"The Complete Review Of Libra — Facebook’s Global Cryptocurrency...
PRC: $0.303600 (+8.40%) • ROI: -494.07% • HLD: 6… https://t.co/QWXosaAIu0",1170533595406118912,2019-09-08 03:05:31,0,0
7,CRPT,CoinMarketNews,"Today's top cryptocurrency gainers: 
 
$NRG (25.31%) up
$DEX (22.48%) up
$BRD (16.68%) up
$QASH (13.76%) up
$XMX (1… https://t.co/l1f4pTEVcM",1170479387860488192,2019-09-07 23:30:07,0,0
8,CRPT,TpaySoldiers,#Crypto #bitcoin $BTV #TokenPay $TPAY $LTC $ETH $OMG $TUSD $ZRX $REP $MKR $BAT $PAY $HT $DAI $CRO $NEXO $ENJ $MANA… https://t.co/Bo8mudPL2k,1170463826757783552,2019-09-07 22:28:17,0,8
9,CRPT,CoinMarketNews,"Today's top cryptocurrency gainers: 
 
$REN (13.43%) up
$QASH (11.77%) up
$CRPT (11.71%) up
$ATOM (6.33%) up
$XMX (… https://t.co/8Sx3th3A3Y",1170298196515545089,2019-09-07 11:30:07,0,2
10,CRPT,CoinMarketNews,"Today's top cryptocurrency gainers: 
 
$XMX (27.10%) up
$REP (19.95%) up
$CRPT (11.71%) up
$NEXO (6.66%) up
$TRUE (… https://t.co/Nak10wZ7sG",1170116995767033857,2019-09-06 23:30:06,0,1
11,CRPT,siebrand,"RT @coinmarketnews: Today's top cryptocurrency gainers: 
 
$DIVI (17.52%) up
$XMX (14.29%) up
$KNC (13.15%) up
$CRPT (11.71%) up
$FCT (10.1…",1170041378224648192,2019-09-06 18:29:37,1,0
12,CRPT,ICOLOG,"Apple VP Jennifer Baily paints a positive outlook for the cryptocurrency industry. However, she insists on the comp… https://t.co/9109U0Zq3j",1169959803449466880,2019-09-06 13:05:28,0,0
13,CRPT,CoinMarketNews,"Today's top cryptocurrency gainers: 
 
$XMX (51.14%) up
$REP (23.66%) up
$CRPT (11.71%) up
$NEXO (11.50%) up
$CS (1… https://t.co/O9wGjIHw0A",1169935802433978369,2019-09-06 11:30:06,0,3
14,CRPT,CoinMarketNews,"Today's top cryptocurrency gainers: 
 
$DIVI (17.52%) up
$XMX (14.29%) up
$KNC (13.15%) up
$CRPT (11.71%) up
$FCT (… https://t.co/J1Rq4znVkr",1169754609998540800,2019-09-05 23:30:06,1,6
